submission_id,F1,F1_NPforms,F2,F2_matchness,List,acceptability,age,comments,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemNr,languages,practice,prolific_pid,prolific_session_id,prolific_study_id,responseTime,trialNR
946,,sum,,random,2,20,27,,Higher degree,250385,1741960106304,1741959855919,female,38,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,4416,13
946,,sum,,-match,2,96,27,,Higher degree,250385,1741960106304,1741959855919,female,18,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,4384,14
946,,part,,random,2,9,27,,Higher degree,250385,1741960106304,1741959855919,female,79,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,17853,15
946,,sum,,random,2,13,27,,Higher degree,250385,1741960106304,1741959855919,female,74,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,4244,16
946,,part,,+match,2,98,27,,Higher degree,250385,1741960106304,1741959855919,female,33,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,10034,17
946,,part,,random,2,9,27,,Higher degree,250385,1741960106304,1741959855919,female,43,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,3957,18
946,,part,,-match,2,24,27,,Higher degree,250385,1741960106304,1741959855919,female,59,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,5809,19
946,,-filler,,first,2,11,27,,Higher degree,250385,1741960106304,1741959855919,female,902,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,5508,20
946,,+filler,,second,2,14,27,,Higher degree,250385,1741960106304,1741959855919,female,901,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,7208,21
946,,part,,-match,2,23,27,,Higher degree,250385,1741960106304,1741959855919,female,95,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,5400,22
946,,part,,+match,2,97,27,,Higher degree,250385,1741960106304,1741959855919,female,141,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,5600,23
946,,sum,,-match,2,42,27,,Higher degree,250385,1741960106304,1741959855919,female,126,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,6444,24
946,,-filler,,first,2,39,27,,Higher degree,250385,1741960106304,1741959855919,female,906,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,11181,25
946,,part,,random,2,3,27,,Higher degree,250385,1741960106304,1741959855919,female,115,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,6603,26
